A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A11,B56,CW1,DQ8,DR4,NA,NA,DR53,6.01993e-5
A11,B57,CW6,DQ5,DR1,NA,NA,NA,4.01328e-5
A11,B57,CW6,DQ7,DR12,NA,DR52,NA,6.01993e-5
A11,B57,CW6,DQ9,DR7,NA,NA,DR53,3.31096e-4
A11,B58,CW7,DQ6,DR13,NA,DR52,NA,1.20399e-4
A11,B62,CW9,DQ8,DR4,NA,NA,DR53,6.01993e-5
A11,B63,CW7,DQ5,DR15,DR51,NA,NA,6.01993e-5
A11,B64,CW8,DQ5,DR1,NA,NA,NA,6.01993e-5
A11,B64,CW8,DQ6,DR15,DR51,NA,NA,6.01993e-5
A11,B64,CW8,DQ9,DR7,NA,NA,DR53,6.01993e-5
A11,B65,CW8,DQ5,DR1,NA,NA,NA,4.91627e-4
A11,B65,CW8,DQ6,DR13,NA,DR52,NA,8.02657e-5
A11,B65,CW8,DQ7,DR13,NA,DR52,NA,1.30432e-4
A11,B7,CW12,DQ6,DR15,DR51,NA,NA,7.02325e-5
A11,B7,CW12,DQ8,DR4,NA,NA,DR53,6.01993e-5
A11,B7,CW15,DQ7,DR11,NA,DR52,NA,6.01993e-5
A11,B7,CW15,DQ8,DR4,NA,NA,DR53,6.01993e-5
A11,B7,CW7,DQ2,DR17,NA,DR52,NA,2.10697e-4
A11,B7,CW7,DQ2,DR7,NA,NA,DR53,9.02989e-5
A11,B7,CW7,DQ4,DR8,NA,NA,DR53,8.02657e-5
A11,B7,CW7,DQ5,DR1,NA,NA,NA,1.50498e-4
A11,B7,CW7,DQ5,DR16,DR51,NA,NA,1.20399e-4
A11,B7,CW7,DQ6,DR13,NA,DR52,NA,7.02325e-5
A11,B7,CW7,DQ6,DR15,DR51,NA,NA,0.003130362
A11,B7,CW7,DQ7,DR103,NA,NA,NA,6.01993e-5
A11,B7,CW7,DQ7,DR4,NA,NA,DR53,5.71893e-4
A11,B7,CW7,DQ8,DR4,NA,NA,DR53,5.51827e-4
A11,B7,CW7,DQ9,DR7,NA,NA,DR53,6.01993e-5
A11,B71,CW7,DQ5,DR1,NA,NA,NA,2.00664e-5
A11,B71,CW7,DQ5,DR16,DR51,NA,NA,2.00664e-5
